Date,MarketCap,Volume,Price,,
2025-04-15,"$54,246,366","$521,719",0.652982,,
2025-04-14,"$52,669,948","$475,309",0.6409545,,
2025-04-13,"$56,218,174","$686,531",0.652466,,
2025-04-12,"$52,727,669","$740,787",0.652972,,
2025-04-11,"$49,534,093","$535,596",0.6132525,,
2025-04-10,"$52,217,645","$1,364,295",0.609987,,
2025-04-09,"$44,661,402","$697,579",0.581056,,
2025-04-08,"$47,443,409","$1,190,680",0.5525225,,
2025-04-07,"$46,867,198","$1,081,616",0.56562,,
2025-04-06,"$49,885,637","$338,403",0.580774,,
2025-04-05,"$51,252,822","$784,276",0.6073915,,
2025-04-04,"$51,277,580","$755,694",0.613769,,
2025-04-03,"$50,231,867","$873,545",0.6069335,,
2025-04-02,"$53,649,866","$480,898",0.6227575,,
2025-04-01,"$53,496,637","$1,117,555",0.642753,,
2025-03-31,"$56,763,921","$5,110,497",0.6608985,,
2025-03-30,"$51,403,443","$1,006,753",0.648382,,
2025-03-29,"$52,408,014","$734,059",0.6227115,,
2025-03-28,"$58,828,664","$556,465",0.666971,,
2025-03-27,"$59,990,089","$704,370",0.712454,,
2025-03-26,"$62,698,097","$683,492",0.736081,,
2025-03-25,"$62,589,241","$1,262,809",0.7515975,,
2025-03-24,"$54,903,119","$487,720",0.703693,,
2025-03-23,"$55,100,212","$533,422",0.6584365,,
2025-03-22,"$57,315,771","$1,479,340",0.673576,,
2025-03-21,"$60,618,234","$743,624",0.706536,,
2025-03-20,"$63,543,784","$903,583",0.7441305,,
2025-03-19,"$62,458,924","$618,311",0.7558315,,
2025-03-18,"$64,295,212","$813,729",0.760332,,
2025-03-17,"$60,637,640","$708,308",0.7499365,,
2025-03-16,"$69,244,136","$421,257",0.7793685,,
2025-03-15,"$66,731,270","$963,832",0.8155195,,
2025-03-14,"$67,987,218","$873,782",0.8080535,,
2025-03-13,"$67,442,115","$1,793,465",0.8121515,,
2025-03-12,"$63,639,674","$2,017,716",0.785757,,
2025-03-11,"$62,252,904","$1,347,904",0.7543085,,
2025-03-10,"$71,161,912","$823,614",0.79929,,
2025-03-09,"$82,886,361","$435,659",0.922765,,
2025-03-08,"$84,564,962","$805,444",1.003558,,
2025-03-07,"$87,378,984","$1,400,426",1.0315,,
2025-03-06,"$92,527,299","$1,003,952",1.0795,,
2025-03-05,"$90,383,373","$1,301,473",1.097,,
2025-03-04,"$88,924,002","$1,887,285",1.0745,,
2025-03-03,"$110,337,213","$2,591,879",1.1925,,
