Victim Address,Distinct Tokens,Current USD Amount
Job24GWWfqnpQkG1Aip6pG8w3CMBBo4sepaBsVERp3S,2,92611.1
dcfsYzCT6XqN6KcSrvoPGVQyW7M9bGQPX5BqXdeqAN3,3,74449.4
4e5EFPoyZrsyRZGSPUwVZBpDu4CXWdU3SdBtWWPsUnqe,2,45610.74
GYVnaxygjzFjjt7K3BA2kF3k7tP32vid5NLJNVLB9vFW,1,7619.41
2n5po7MhayTPvvDs5X3QipcXy1qqCvbk6MFKsP8AAFS6,1,7411.95
Sog7a3eUQiH7Yygw2RepvwUKtrvp7ZV7pmdTrLdQoyE,2,6400.18
FEEPSTBvJvqy68FxKVqunkWrwTYGhi5xzcPKJe4aGT1M,1,6177.05
EfuRfJVCYXX87QkfPsxPGxdqBU8S1rKjU7r8JWGq2yu8,1,4033.42
HrXGX5sNWUHWvc7Qkx3Jd4cQw5J48qsKzdKArZfdhG7Q,1,3040.54
3skAZNf7EjUus6VNNgHog44JZFsp8BBaso9pBRgYntSd,1,1888.26
Cz3EYxMsYSTKXvL5U6Jqc6gNwpFVYizpXRUq4X9hhhoP,1,1867.4
DobThs2gQd5sCyQ3rziHz1RYkLRTbTc5hGvymqWCiVjx,1,1830.48
8js1uaK75Mmgwq5f5ND3vM1aBv3tcBpDrAoKr67SZMWE,8,1823.55
HghSRNWQNfG4CByYkZqj4Qqawjspir5Re5BDjzoHZzMw,1,1259.34
DUELFqTH4HXsKoKmEQVdYnnh5PnThrfLLdmJP7QfYr7h,1,1138.29
hu1WNkkeXHhPPWaFGzNbLSSZ67CLgkDqCkwDBnBBGnv,1,478.1
bbdpQ274D9NPJhAgmJNGC5zpJHSiFWmLND9u1wLNsEy,2,342.09
Fad5D7B1pmz1RS7pECpLXDmw9gJxooC2Ra3F5z3Ls7JY,1,328.63
2wZJJ1K95bB75P7MSQULQzSeBftjP4LwkmB9r9B8vgac,2,322.18
CaD8ozy8tZeLehp8uwMx37aqdhCviMFt4dqFTZKnY62F,1,309.47
3LZCeigShVp3WGzN6oVcJeuHcPm4zZ3eEQCpMBAFX2kW,1,272.35
467UnngQ7yFwCNvgiQtNqWvraA7M71drLSjgqjD5jaKh,2,271.3
3Acz3gyo3kp2y77YqrkL7N8MkWKvWiTy1jE6c4JC7QV7,1,266.3
6ShbR37z2PCDxo2xcUfqg96adcAJApuiJi3ZhoPaSe81,2,257.66
CapeCTC7aYXm3i2XGu3y6vbTo6gZKsdbv6TWLqEVp492,1,247.51
7b8cD33DcKdfqu233mJyifvozqG1P6xhisG5wY6suN4p,1,242.97
8i7jr6gyD1zbx7FhEeUp71uS8RAYCb2rn9BWnbQGSZX,1,239.64
Co1oHEouHgLWyHZFKXpyXaB8wq3t6GH989ThiSDcz4eZ,2,221.12
8XzMEMfsYAaebRYnFjsHb8uqXFJDyqven9exp88onsiU,1,174
Evbfzf5LuYtYQoi7obF46MnemufoDWrMGGHzy3p6AmmR,1,137.61
4WtG17Vn3SSoTAVvXxpopQTG3Qo9NUK28Zotv4rL1ccv,1,130.38
BftENzqBDnnEVt7om3q81guo7eoLXoJppYr5ihkFKq8y,1,104.22
9rGP6C5qoAfBL7mqEgw7ZFegndMkGrCBGjo8KGSXMsDa,1,92.36
HSiEEKJmPP2VpNWfYtt8pHH3KyL7Ygx3TU7HVBRb9jyo,1,87.49
DLPFwDkRT5D5Mwg375hRhKTV4AWDY4V8w8xg3muc8yqY,1,81.01
Ab8Dk5XSGfUjPtpUACmUodqXmoWKj6hJ3wBauwyA6Xoh,1,59.27
devz5yGkxyDpj9LsnHdQxx679ndHL91aKHRfSUxJoVX,1,50.93
CxMnxp6ZkijT2q1M5vxPGVuUVGjKcTziK2QEqaqX9goD,1,42.66
HHYvGZ6ytsrAZU9421iYNYeaWJUhVDUD7z9uvizNErnV,2,42.24
4F9bwCLxAYgkq465qJY8RrGH1KZNa76xhk8RKYZDqikF,1,26.15
EcfukzzSKgktWgC5QppRhSmCcHWVT4jqzC5UwgaAVT3x,1,24.29
5vDuBRSN1Nz4yLNZNhvLoRLxjJptibfXrSurBcioYF7s,2,0.01
2wZJPxXPjfSYZAEUub5iydhJfCNNy3opFczXAonJgsfc,1,0.01
DAnUbQYpGBTQeXn4iAjbMB8e3XWx7pxoSuwjqn7svXHD,1,0.01
bbdpRoojrMtzpxjCWirK3jYaqPjKyMzALcjJPV8r2Ky,1,0
Cz3E44NFRuukgN9rJmv8zgrFB5oDYdJDJ3vB4DbV3kFP,1,0
CQtHCtsxVtYJRD43rTB3MqEETS7g3KknniYPRaxVp492,1,0
9rGP6MDnfzLNbGD7UWNaCrfRfTbcsSEY1xvDZ5bfCkKa,2,0
S8fko6XxUr3bG4shNJJxFKk2udvM4C17yekLaSHQoyE,1,0
Job2RjeqPGU1gZb4hyh5aArkzseVtz6KPBith3yxWoS,2,0
EfuR6ikoFHJF5Wi5Z9u2GnfLaqzUHpttwxst9odqsGe8,2,0
2n5psTFFsNYF8XzDcEY9MQ5hYBXVp2kxapnpAY69Evf6,1,0
8gjMTGVd7ziusV3onTMGnAKFc3izgCGxjNxcGYAyfRDV,1,0
J6PLT8kTveweXSkiLxcHesR3P9FPzbz71fXoADpURp3S,1,0
hzb3EwkzXqvvXN5EvHGWPammPm7uZZWFgoQreYDBGnv,1,0
8js1o8ZfCUQTyxEWtPXyyuDuGyoDX98tC9WZXMpW83NE,2,0
3Acz1UkRoZyhX3RgF1dRTunDvmQ4ihsu6dY6NhkaQ9a7,2,0
GYVnXjHDBcWHcUgoBHvd8bW1H27D1eDpQsUvys1jH6HW,1,0
DUELxegdoqaz69H99x56jHTbK7VPC276AwGz1Toy5X8h,2,0
F3cqx5GGEE1GrKbz6vT2QAgTV7YcrPCQz7xSkdmCxcng,2,0
DCdtVtrMcaxffvP5dKSJDYKygoMm9gnXejT5z21J8yqY,1,0
CaD8PGVFJpMvZhT8WQAeuVNmV77vTU56GfUJczU9VDZF,2,0
DAnU47vhvJZ52uQYBDuYgMbZrXo7yXqiZvK5GECJQ5HD,3,0
4F9bxPrUMhvUu6Dq1K8KnpXn6LBgsrEraqDp3RRTjs6F,1,0
HrXGZYzvVr8ZYMxNvrFnUbdUzfo8t2EWtSZu1QzieFiQ,2,0
fLiPgg2yTvmgfhiPkKriAHkDmmXGP6CdeFX9UF5o7Zc,1,0
DAnUrKW2Zv5ZbZVcjR7EbxRccByu3ppkhm8Kz9yGB13D,1,0
7b8ckFcBcVimwHVYbXyh3gWv7EMRqYv4bj2e9FxddK3p,1,0
Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,1,0
4F9bxwxGA4ZSyLsBPD1N2pBzTHKS4tSCxeXcxCCyPAyF,2,0
467UYoXKC3pQLm43Chm3mKBJticFcvSAF3kFXo17XU6h,2,0
GYVnkcCkF8osh1pEpgLmK3JoXTRTdkGhvZN2ZNQPuQLW,1,0
FEEPQeyRM9QivX6MmZsU4tWB3mgrZrLCKStvuHs58nSM,1,0
4e5EvUj5HjxFKkJqkDLoJX3AVDNjZfria5FmaJwmRbDe,1,0
Co1oDZUBuJEzdXieLrwKzAnMjaedRPT3kFQ71diBiXgZ,1,0
Job2LL9TYAXLfwLcawiE3di5L6n1Xa8DiJyQKx8usSv,1,0
4WtGW5hqZJx5ndp8nJwW7GHKJcp4Vw38M9ijPs9upj8v,2,0
Sog7hnodX6w7dTfqHHy88KHMVFuFbf6MyHkY6Fahq7E,2,0
D4juf8KGGjhjD3PCLqqWTTZCKkMVTwtCjcvkUpic8yqY,1,0
HghSM1qHFPMZRjfQb69ZV5ipCha6jMVc5vb2MzxqsaRw,2,0
J58XQBMU98zNyHr8axJynKgxEPGDTdph7RAVMjbsRp3S,1,0
5qLF7fuhba3dS4nZy9R5UD2zyByFZUmoZUJHuytMcbLV,1,0
8XzMQFHqBJpmGBXKus3cz5BtPheumhZUYmfTXnXVqywU,1,0
F3d6C5gFSY5DX4bwmfoAJsxLjCtbHwvS5gt6v5YwxvYg,1,0
FEEPWXHU1Ki4muLj8yiwrzqCbRKxyx8TNsz9VgzKuK9M,1,0
dcfsRJLmHEAQ9xfLWkSu8vvruUbVW9ytiZUYs4dmRK4,2,0
Ab8Dm7Q3LA8gA4Xof2DLBMRSYErwYCaErwkiddvLZimh,2,0
5vDusHVc1Vj5P4xXAdvKufgM6SvKg31qCiq4rKSvqYs,2,0
GGXbC2NZBjKTjNmnk7sd3aZUN6dGZJQ9xrKf7GWB9vFW,1,0
S1BuwJ4J1PK7tVGnvXaeLLT6h41ZfLjBpo2tFoJQoyE,1,0
﻿
